Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
616349cb4b848a5ebf5a1a8c,ae96141e-6b7f-4480-aef3-da5bc607d956,PHYSICAL,fabric-shop,style-01-6xjy7,Style 01,"<p class="""" style=""white-space:pre-wrap;"">It all begins with an idea. Maybe you want to launch a business. Maybe you want to turn a hobby into something more. Or maybe you have a creative project to share with the world. Whatever it is, the way you tell your story online can make all the difference.</p>",SQ5206847,,,,,,,,,,,,,40,0,No,Unlimited,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/1603994623637-UY05A2GJLOOKS5WCS085/acc_1-A.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603994627796-MVXNCUBQA4XMR0VWFC60/acc_1-D.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603994625115-UUXB884VQ99DTRCZVU6S/acc_1-B.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603994625585-DA4MXHFC1S0B2GBIVYW8/acc_1-C.jpg
616349cb4b848a5ebf5a1a7e,7675724f-7a41-470e-99c0-349b1d319769,PHYSICAL,fabric-shop,style-02-dm36z,Style 02,"<p class="""" style=""white-space:pre-wrap;"">It all begins with an idea. Maybe you want to launch a business. Maybe you want to turn a hobby into something more. Or maybe you have a creative project to share with the world. Whatever it is, the way you tell your story online can make all the difference.</p>",SQ0135116,,,,,,,,,,,,,25,0,No,Unlimited,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/1603995042373-X10MKTHGRTTQUU16GRPH/acc_2-C.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603995045296-RKR6P83LUUA252MKNU3E/acc_2-D.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603995039958-8KD1M5X33D8RJZ4W9I9B/acc_2-A.jpg
616349cb4b848a5ebf5a1a6b,6853028c-e293-4545-8080-f76297930d27,PHYSICAL,fabric-shop,style-03-4w5nn,Style 03,"<p class="""" style=""white-space:pre-wrap;"">It all begins with an idea. Maybe you want to launch a business. Maybe you want to turn a hobby into something more. Or maybe you have a creative project to share with the world. Whatever it is, the way you tell your story online can make all the difference.</p>",SQ2130502,,,,,,,,,,,,,55,0,No,Unlimited,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/1603995359073-31Z0GDCLJ9HW8CJIJLD2/acc_3-A.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603995357849-8NGCXUQEF2KRCGG9J56P/acc_3-B.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603995360517-9PHQ1KFWS91Y3S83MJEC/acc_3-C.jpgcdn.com/content/v1/5ec321c2af33de48734cc929/1603995360097-A4WEH9E0B9FRKVHB6PYI/acc_3-D.jpg
5ffa5e9045e88d20960e791e,00c1f6c9-4dbe-4a66-ba64-f14cf86fb047,PHYSICAL,boostshop,2-additional-fat-quarters,2 Additional Fat Quarters (CLASSIC only),"<p class="""" style=""white-space:pre-wrap;"">Based upon your preferences, we will add two additional fat quarters from the selection this month that we think you will love!  Even if you receive half yards, we will include two bonus fat quarters.</p>",SQ3040832,,,,,,,,,,,,,5,0,No,Unlimited,/classic-members---more-of-what-you-love,,15,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243729076-1WU4VD3D2CPOO99K7ZI9/unnamed%2B%25285%2529.jpg
5ffa5e9139b4bc65fa2c4a4d,0521ce8d-e598-4d12-9c8e-b96c2b219c7e,PHYSICAL,boostshop,add-a-quarter-plus-ruler-6-pnk-aaqp-6-pink-by-cm-design,Add A Quarter Plus Ruler 6&quot; Pnk AAQP 6 PINK by CM Design,"<p class="""" style=""white-space:pre-wrap;"">Add A Quarter Plus 6"" Ruler simplifies foundation piecing. One edge is tapered for folding back foundation paper and the other side has a 1/4"" lip so you can quickly trim the seam allowance with your rotary cutter. 2"" x 6"" Pink ruler. CM Designs donates a portion of the proceeds to help fight breast cancer.</p>",SQ5115524,,,,,,,,,,,,,8.25,0,No,4,/clip-and-snip-shop,,15,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243730065-59XH6RQ0HCY6BY29XKO9/0646.00012.jpg
5ffa5e9239b4bc65fa2c4a4e,fb1e9126-288b-41d5-80d1-95a6c4a1061d,PHYSICAL,dolly-mixtures-shop,add-on-border-and-binding-strips,Add On Border and Binding Strips,"<p class="""" style=""white-space:pre-wrap;"">If you wish to make the Dolly Mixtures top larger, it is recommended to add a 6” border all around the quilt.  This “Add On” Kit will provide 2.25 yards of fabric, enough for the borders and extra binding to finish the project.  </p>",Fabric 1,,,,,,,,,,,,,22.5,0,No,3,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243731228-WUZE2L3F0TJ1Q0AF5L46/Dolly%2BMixtures%2BDesign%2B201221.jpg
5ffa5e9345e88d20960e7924,1f4ab65c-b41a-4edf-b6a3-17437a9798b4,PHYSICAL,dolly-mixtures-shop,all-recommended-supplies-bundle,All Recommended Supplies Bundle,"<p class="""" style=""white-space:pre-wrap;"">This bundle contains all of the recommended supplies to complete Dolly Mixtures.  This bundle includes:</p><p class="""" style=""white-space:pre-wrap;"">Karen Kay Buckley 6 inch Medium Blue Scissors</p><p class="""" style=""white-space:pre-wrap;"">Soft Fuse Paper Backed Fusible Web 18in x 3yds </p><p class="""" style=""white-space:pre-wrap;"">Clover Roll and Press </p><p class="""" style=""white-space:pre-wrap;"">Olfa Rotary Circle Cutter </p><p class="""" style=""white-space:pre-wrap;"">Clover Self Threading Needles </p><p class="""" style=""white-space:pre-wrap;"">Clover Glass Head Patchwork Pins </p><p class="""" style=""white-space:pre-wrap;"">Sulky Tear Easy 12in x 12 yds Pack </p><p class="""" style=""white-space:pre-wrap;"">Aurifil, 50 wt, 1000M, 2600 </p><p class="""" style=""white-space:pre-wrap;"">Wonderfil Konfetti, 50 wt, 1000M, KT-906</p><p class="""" style=""white-space:pre-wrap;"">Schmetz Chrome Quilting Needles 5 ct,  75/11 </p><p class="""" style=""white-space:pre-wrap;"">Schmetz Chrome Universal Needle 5 ct, Size 80/12</p>",SQ9025395,,,,,,,,,,,,,170,150,Yes,10,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243732051-AJ5YYTQPJJUYNPG0ME83/Untitled%2Bdesign%2B%25283%2529.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243732520-2Y8ZKQ4QWJDL8R0TT6KC/Untitled%2Bdesign%2B%25282%2529.jpg
5ffa5e9739b4bc65fa2c4a51,98a16e30-a63b-497f-89f1-729b81203f05,PHYSICAL,boostshop,alphabitties-pink-ise-701-by-its-sew-emma,Alphabitties Pink ISE 701 by Its Sew Emma,"<p class="""" style=""white-space:pre-wrap;"">These cute little letters and numbers help keep your fabric extra organized after cutting. Simply label each pile with the corresponding letter or number from the pattern. 36 markers per package.</p>",SQ5290840,,,,,,,,,,,,,7,0,No,11,/fun-notions,,15,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243736644-C2ZPXTU1NE3KWAYJXGVM/0633.00086.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243737550-IUDRAIW5QCQGAIF66LL9/imageContent%2B%25287%2529.jpg
5ffa5e9a39b4bc65fa2c4a52,46fa759d-21f5-4700-9d62-e305e7ef5c08,PHYSICAL,boostshop,bladesaver-thread-cutter-blue-by-purple-hobbies-llc,Bladesaver Thread Cutter Blue by Purple Hobbies LLC,,SQ0543060,,,,,,,,,,,,,15,0,No,0,/clip-and-snip-shop,,15,0,0,0,No,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243739481-2LGZOVVV7XFMNSK9IIG1/PPBSAVERIM-BLUE.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243740110-DYGB3LF5VLZVYH1JKLDS/PPBSAVERIM-BLUE_1.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243740879-EMYXRZIX1IZ1JULIOCGH/PPBSAVERIM-BLUE_2.jpg
5ffa5e9d45e88d20960e7928,a92fbc20-bfe9-4449-a2e6-33e731ee66ec,PHYSICAL,boostshop,bladesaver-thread-cutter-orange-by-purple-hobbies-llc,Bladesaver Thread Cutter Orange by Purple Hobbies LLC,"<p class="""" style=""white-space:pre-wrap;"">Don't discard your used 45mm rotary blades--give them new life with the BladeSaver Thread Cutter! Use the BladeSaver to safely cut your chain pieced fabric projects quickly and easily.Comes with a carrying case and built-in stand to hold the thread cutter securely during use.</p>",SQ9637630,,,,,,,,,,,,,15,0,No,0,/clip-and-snip-shop,,15,0,0,0,No,https://images.squarespace-cdn.com/content/v1/5fe0c8ec84919756fc782980/1610243742283-0Z9YVZUW21ZX35WQGO2P/PPBSAVERIM-ORANGE.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243742970-Z571MZ0ABCJXUW32VS34/PPBSAVERIM-ORANGE_1.jpgcdn.com/content/v1/5fe0c8ec84919756fc782980/1610243743726-LVIOTXYNJ8P4F5QLDWVA/PPBSAVERIM-ORANGE_2.jpg
